HIT-SCIR (Harbin),software1-P,94.53
Uppsala (Uppsala),software1-P,93.32
NLP-Cube (București),software1-P,93.14
SLT-Interactions (Bengaluru),software2-P,92.75
Stanford (Stanford),software2,92.33
AntNLP (Shanghai),software1-P,90.46
ArmParser (Yerevan),software1-P,90.46
BASELINE UDPipe 1.2 (Praha),software1-P,90.46
BOUN (İstanbul),software2-P,90.46
CEA LIST (Paris),software1-P,90.46
CUNI x-ling (Praha),software1-P,90.46
Fudan (Shanghai),software5-P,90.46
HUJI (Yerushalayim),software1-P,90.46
IBM NY (Yorktown Heights),software1-P,90.46
ICS PAS (Warszawa),software1-P,90.46
KParse (İstanbul),software1-P,90.46
LATTICE (Paris),software1-P,90.46
LeisureX (Shanghai),software1-P,90.46
ONLP lab (Ra'anana),software3-P,90.46
ParisNLP (Paris),software1-P,90.46
Phoenix (Shanghai),software1-P,90.46
SParse (İstanbul),software1-P,90.46
TurkuNLP (Turku),software1-P,90.46
UDPipe Future (Praha),software1-P,90.46
UniMelb (Melbourne),software1-P,90.46
iParse (Pittsburgh),software1-P,90.46
