NLP-Cube (București),software1-P,99.87
Stanford (Stanford),software2,99.84
Uppsala (Uppsala),software1-P,99.84
UDPipe Future (Praha),software1-P,99.81
AntNLP (Shanghai),software1-P,99.78
BASELINE UDPipe 1.2 (Praha),software1-P,99.78
BOUN (İstanbul),software2-P,99.78
CEA LIST (Paris),software1-P,99.78
CUNI x-ling (Praha),software1-P,99.78
Fudan (Shanghai),software5-P,99.78
HIT-SCIR (Harbin),software1-P,99.78
HUJI (Yerushalayim),software1-P,99.78
IBM NY (Yorktown Heights),software1-P,99.78
ICS PAS (Warszawa),software1-P,99.78
KParse (İstanbul),software1-P,99.78
LATTICE (Paris),software1-P,99.78
LeisureX (Shanghai),software1-P,99.78
ONLP lab (Ra'anana),software3-P,99.78
ParisNLP (Paris),software1-P,99.78
Phoenix (Shanghai),software1-P,99.78
SLT-Interactions (Bengaluru),software2-P,99.78
TurkuNLP (Turku),software1-P,99.78
UniMelb (Melbourne),software1-P,99.78
iParse (Pittsburgh),software1-P,99.78
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
