IBM NY (Yorktown Heights),software1-P,40.24
AntNLP (Shanghai),software1-P,38.69
LATTICE (Paris),software1-P,36.89
Uppsala (Uppsala),software1-P,35.95
ParisNLP (Paris),software1-P,33.74
CUNI x-ling (Praha),software1-P,33.38
HIT-SCIR (Harbin),software1-P,32.15
ICS PAS (Warszawa),software1-P,31.76
ONLP lab (Ra'anana),software3-P,30.52
Fudan (Shanghai),software5-P,29.58
BASELINE UDPipe 1.2 (Praha),software1-P,29.2
CEA LIST (Paris),software1-P,29.2
LeisureX (Shanghai),software1-P,29.2
UDPipe Future (Praha),software1-P,29.2
UniMelb (Melbourne),software1-P,29.2
TurkuNLP (Turku),software1-P,28.18
SLT-Interactions (Bengaluru),software2-P,24.89
KParse (İstanbul),software1-P,23.79
Phoenix (Shanghai),software1-P,23.24
BOUN (İstanbul),software2-P,22.92
HUJI (Yerushalayim),software1-P,22.9
Stanford (Stanford),software2,20.85
iParse (Pittsburgh),software1-P,15.41
NLP-Cube (București),software1-P,6.32
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
