HIT-SCIR (Harbin),software1-P,93.44
LATTICE (Paris),software1-P,92.73
TurkuNLP (Turku),software1-P,92.57
ICS PAS (Warszawa),software1-P,92.47
Stanford (Stanford),software2,92.44
UDPipe Future (Praha),software1-P,92.32
ParisNLP (Paris),software1-P,92.27
AntNLP (Shanghai),software1-P,91.65
NLP-Cube (București),software1-P,91.63
LeisureX (Shanghai),software1-P,91.59
CEA LIST (Paris),software1-P,91.38
SLT-Interactions (Bengaluru),software2-P,90.74
Uppsala (Uppsala),software1-P,90.5
IBM NY (Yorktown Heights),software1-P,89.98
iParse (Pittsburgh),software1-P,89.45
UniMelb (Melbourne),software1-P,88.66
Fudan (Shanghai),software5-P,87.93
BASELINE UDPipe 1.2 (Praha),software1-P,86.88
BOUN (İstanbul),software2-P,86.48
Phoenix (Shanghai),software1-P,86.46
KParse (İstanbul),software1-P,85.22
ONLP lab (Ra'anana),software3-P,83.09
CUNI x-ling (Praha),software1-P,82.51
HUJI (Yerushalayim),software1-P,75.76
ArmParser (Yerevan),software1-P,69.79
SParse (İstanbul),software1-P,0.0
