HIT-SCIR (Harbin),software1-P,92.79
Stanford (Stanford),software2,92.51
TurkuNLP (Turku),software1-P,92.09
ICS PAS (Warszawa),software1-P,92.0
CEA LIST (Paris),software1-P,91.85
LATTICE (Paris),software1-P,91.81
UDPipe Future (Praha),software1-P,91.64
ParisNLP (Paris),software1-P,91.39
NLP-Cube (București),software1-P,91.36
LeisureX (Shanghai),software1-P,91.35
AntNLP (Shanghai),software1-P,91.24
Uppsala (Uppsala),software1-P,91.08
iParse (Pittsburgh),software1-P,90.93
SLT-Interactions (Bengaluru),software2-P,90.9
UniMelb (Melbourne),software1-P,90.09
IBM NY (Yorktown Heights),software1-P,89.63
Fudan (Shanghai),software5-P,89.49
KParse (İstanbul),software1-P,88.02
Phoenix (Shanghai),software1-P,87.77
ONLP lab (Ra'anana),software3-P,87.61
BASELINE UDPipe 1.2 (Praha),software1-P,87.42
BOUN (İstanbul),software2-P,86.76
CUNI x-ling (Praha),software1-P,83.75
HUJI (Yerushalayim),software1-P,78.87
ArmParser (Yerevan),software1-P,69.33
SParse (İstanbul),software1-P,0.0
