HIT-SCIR (Harbin),software1-P,88.09
TurkuNLP (Turku),software1-P,87.03
ICS PAS (Warszawa),software1-P,86.8
Stanford (Stanford),software2,86.8
CEA LIST (Paris),software1-P,86.73
UDPipe Future (Praha),software1-P,86.29
LATTICE (Paris),software1-P,86.25
NLP-Cube (București),software1-P,86.09
ParisNLP (Paris),software1-P,85.19
AntNLP (Shanghai),software1-P,85.07
SLT-Interactions (Bengaluru),software2-P,84.89
Uppsala (Uppsala),software1-P,84.45
UniMelb (Melbourne),software1-P,84.33
LeisureX (Shanghai),software1-P,84.18
IBM NY (Yorktown Heights),software1-P,83.6
Fudan (Shanghai),software5-P,80.67
BOUN (İstanbul),software2-P,79.81
KParse (İstanbul),software1-P,79.42
BASELINE UDPipe 1.2 (Praha),software1-P,79.16
Phoenix (Shanghai),software1-P,78.85
CUNI x-ling (Praha),software1-P,77.12
ONLP lab (Ra'anana),software3-P,76.5
HUJI (Yerushalayim),software1-P,73.82
ArmParser (Yerevan),software1-P,60.9
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
