HIT-SCIR (Harbin),software1-P,91.03
ICS PAS (Warszawa),software1-P,89.82
CEA LIST (Paris),software1-P,89.55
UDPipe Future (Praha),software1-P,89.48
TurkuNLP (Turku),software1-P,89.36
Stanford (Stanford),software2,89.34
LATTICE (Paris),software1-P,89.1
ParisNLP (Paris),software1-P,88.53
NLP-Cube (București),software1-P,88.45
SLT-Interactions (Bengaluru),software2-P,88.42
AntNLP (Shanghai),software1-P,87.74
UniMelb (Melbourne),software1-P,87.33
Uppsala (Uppsala),software1-P,86.97
LeisureX (Shanghai),software1-P,86.76
IBM NY (Yorktown Heights),software1-P,86.59
iParse (Pittsburgh),software1-P,86.58
KParse (İstanbul),software1-P,85.26
BOUN (İstanbul),software2-P,84.09
Phoenix (Shanghai),software1-P,83.64
ONLP lab (Ra'anana),software3-P,83.41
BASELINE UDPipe 1.2 (Praha),software1-P,83.1
Fudan (Shanghai),software5-P,83.1
CUNI x-ling (Praha),software1-P,81.1
HUJI (Yerushalayim),software1-P,80.04
ArmParser (Yerevan),software1-P,65.57
SParse (İstanbul),software1-P,0.0
