HIT-SCIR (Harbin),software1-P,90.87
Stanford (Stanford),software2,90.23
ICS PAS (Warszawa),software1-P,89.8
CEA LIST (Paris),software1-P,89.74
LATTICE (Paris),software1-P,89.74
TurkuNLP (Turku),software1-P,89.53
UDPipe Future (Praha),software1-P,88.77
NLP-Cube (București),software1-P,87.56
Uppsala (Uppsala),software1-P,87.28
AntNLP (Shanghai),software1-P,87.27
ParisNLP (Paris),software1-P,87.24
SLT-Interactions (Bengaluru),software2-P,86.9
IBM NY (Yorktown Heights),software1-P,85.05
LeisureX (Shanghai),software1-P,84.23
UniMelb (Melbourne),software1-P,84.14
iParse (Pittsburgh),software1-P,84.12
KParse (İstanbul),software1-P,80.53
BASELINE UDPipe 1.2 (Praha),software1-P,79.86
Fudan (Shanghai),software5-P,79.86
BOUN (İstanbul),software2-P,79.67
Phoenix (Shanghai),software1-P,79.42
CUNI x-ling (Praha),software1-P,77.44
HUJI (Yerushalayim),software1-P,77.15
ONLP lab (Ra'anana),software3-P,75.5
ArmParser (Yerevan),software1-P,69.21
SParse (İstanbul),software1-P,0.0
