LATTICE (Paris),software1-P,91.81
HIT-SCIR (Harbin),software1-P,91.17
ICS PAS (Warszawa),software1-P,90.87
Stanford (Stanford),software2,90.59
UDPipe Future (Praha),software1-P,90.07
SLT-Interactions (Bengaluru),software2-P,89.66
CEA LIST (Paris),software1-P,89.48
TurkuNLP (Turku),software1-P,89.41
Uppsala (Uppsala),software1-P,89.39
AntNLP (Shanghai),software1-P,88.16
NLP-Cube (București),software1-P,87.83
ParisNLP (Paris),software1-P,87.66
UniMelb (Melbourne),software1-P,87.1
KParse (İstanbul),software1-P,86.66
IBM NY (Yorktown Heights),software1-P,85.78
iParse (Pittsburgh),software1-P,85.37
LeisureX (Shanghai),software1-P,85.16
Fudan (Shanghai),software5-P,85.12
Phoenix (Shanghai),software1-P,83.94
BASELINE UDPipe 1.2 (Praha),software1-P,83.85
ONLP lab (Ra'anana),software3-P,83.7
BOUN (İstanbul),software2-P,82.88
CUNI x-ling (Praha),software1-P,81.83
HUJI (Yerushalayim),software1-P,80.36
ArmParser (Yerevan),software1-P,68.31
SParse (İstanbul),software1-P,0.0
