UDPipe Future (Praha),software1-P,91.72
HIT-SCIR (Harbin),software1-P,91.65
CEA LIST (Paris),software1-P,91.44
Stanford (Stanford),software2,91.4
LATTICE (Paris),software1-P,91.35
TurkuNLP (Turku),software1-P,90.8
ParisNLP (Paris),software1-P,90.58
ICS PAS (Warszawa),software1-P,90.45
LeisureX (Shanghai),software1-P,90.32
iParse (Pittsburgh),software1-P,89.79
AntNLP (Shanghai),software1-P,89.46
IBM NY (Yorktown Heights),software1-P,88.96
Fudan (Shanghai),software5-P,87.71
UniMelb (Melbourne),software1-P,86.65
Phoenix (Shanghai),software1-P,85.39
BASELINE UDPipe 1.2 (Praha),software1-P,85.27
NLP-Cube (București),software1-P,84.88
ONLP lab (Ra'anana),software3-P,84.56
KParse (İstanbul),software1-P,84.54
Uppsala (Uppsala),software1-P,83.9
BOUN (İstanbul),software2-P,83.73
CUNI x-ling (Praha),software1-P,83.64
ArmParser (Yerevan),software1-P,82.76
SLT-Interactions (Bengaluru),software2-P,67.47
HUJI (Yerushalayim),software1-P,10.44
SParse (İstanbul),software1-P,0.0
