SLT-Interactions (Bengaluru),software2-P,54.86
LATTICE (Paris),software1-P,54.01
IBM NY (Yorktown Heights),software1-P,51.02
HIT-SCIR (Harbin),software1-P,47.6
NLP-Cube (București),software1-P,42.58
AntNLP (Shanghai),software1-P,41.85
CUNI x-ling (Praha),software1-P,41.81
Fudan (Shanghai),software5-P,41.75
KParse (İstanbul),software1-P,41.58
ParisNLP (Paris),software1-P,40.69
BOUN (İstanbul),software2-P,40.53
ONLP lab (Ra'anana),software3-P,38.15
TurkuNLP (Turku),software1-P,38.08
Uppsala (Uppsala),software1-P,37.08
UDPipe Future (Praha),software1-P,35.72
BASELINE UDPipe 1.2 (Praha),software1-P,35.02
CEA LIST (Paris),software1-P,35.02
LeisureX (Shanghai),software1-P,35.02
UniMelb (Melbourne),software1-P,35.02
Phoenix (Shanghai),software1-P,34.71
ICS PAS (Warszawa),software1-P,34.32
ArmParser (Yerevan),software1-P,33.09
Stanford (Stanford),software2,29.73
HUJI (Yerushalayim),software1-P,25.28
iParse (Pittsburgh),software1-P,12.95
SParse (İstanbul),software1-P,0.0
