HIT-SCIR (Harbin),software1-P,87.21
ICS PAS (Warszawa),software1-P,83.93
TurkuNLP (Turku),software1-P,83.15
UDPipe Future (Praha),software1-P,83.08
Stanford (Stanford),software2,82.65
CEA LIST (Paris),software1-P,81.54
NLP-Cube (București),software1-P,81.52
LATTICE (Paris),software1-P,80.49
ParisNLP (Paris),software1-P,80.47
SLT-Interactions (Bengaluru),software2-P,79.93
AntNLP (Shanghai),software1-P,79.35
Uppsala (Uppsala),software1-P,79.13
UniMelb (Melbourne),software1-P,75.72
KParse (İstanbul),software1-P,75.58
IBM NY (Yorktown Heights),software1-P,74.68
iParse (Pittsburgh),software1-P,73.95
LeisureX (Shanghai),software1-P,73.91
Fudan (Shanghai),software5-P,73.1
Phoenix (Shanghai),software1-P,72.65
BASELINE UDPipe 1.2 (Praha),software1-P,72.55
CUNI x-ling (Praha),software1-P,71.34
BOUN (İstanbul),software2-P,70.3
ONLP lab (Ra'anana),software3-P,68.53
HUJI (Yerushalayim),software1-P,60.67
ArmParser (Yerevan),software1-P,55.15
SParse (İstanbul),software1-P,0.0
