LATTICE (Paris),software1-P,53.56
HIT-SCIR (Harbin),software1-P,53.24
UDPipe Future (Praha),software1-P,49.6
TurkuNLP (Turku),software1-P,46.5
ICS PAS (Warszawa),software1-P,46.01
CUNI x-ling (Praha),software1-P,44.94
NLP-Cube (București),software1-P,44.53
Uppsala (Uppsala),software1-P,44.43
AntNLP (Shanghai),software1-P,43.16
KParse (İstanbul),software1-P,41.19
ONLP lab (Ra'anana),software3-P,40.83
BOUN (İstanbul),software2-P,39.79
Fudan (Shanghai),software5-P,39.59
CEA LIST (Paris),software1-P,38.86
Phoenix (Shanghai),software1-P,38.65
BASELINE UDPipe 1.2 (Praha),software1-P,36.81
LeisureX (Shanghai),software1-P,36.81
UniMelb (Melbourne),software1-P,36.81
IBM NY (Yorktown Heights),software1-P,34.96
ArmParser (Yerevan),software1-P,34.94
SLT-Interactions (Bengaluru),software2-P,33.17
ParisNLP (Paris),software1-P,29.18
Stanford (Stanford),software2,28.83
HUJI (Yerushalayim),software1-P,21.01
iParse (Pittsburgh),software1-P,13.61
SParse (İstanbul),software1-P,0.0
