Uppsala (Uppsala),software1-P,49.14
KParse (İstanbul),software1-P,44.9
CUNI x-ling (Praha),software1-P,43.31
ICS PAS (Warszawa),software1-P,42.08
HIT-SCIR (Harbin),software1-P,41.88
IBM NY (Yorktown Heights),software1-P,41.36
ParisNLP (Paris),software1-P,40.76
TurkuNLP (Turku),software1-P,39.76
NLP-Cube (București),software1-P,39.48
BASELINE UDPipe 1.2 (Praha),software1-P,39.45
CEA LIST (Paris),software1-P,39.45
LeisureX (Shanghai),software1-P,39.45
UDPipe Future (Praha),software1-P,39.45
UniMelb (Melbourne),software1-P,39.45
LATTICE (Paris),software1-P,39.24
ONLP lab (Ra'anana),software3-P,37.92
ArmParser (Yerevan),software1-P,37.74
Phoenix (Shanghai),software1-P,36.68
AntNLP (Shanghai),software1-P,32.84
Stanford (Stanford),software2,29.4
BOUN (İstanbul),software2-P,28.24
HUJI (Yerushalayim),software1-P,22.09
SLT-Interactions (Bengaluru),software2-P,21.92
Fudan (Shanghai),software5-P,14.61
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
