Uppsala (Uppsala),software1-P,39.72
IBM NY (Yorktown Heights),software1-P,39.22
LATTICE (Paris),software1-P,38.64
HIT-SCIR (Harbin),software1-P,37.43
UDPipe Future (Praha),software1-P,37.29
ONLP lab (Ra'anana),software3-P,35.77
NLP-Cube (București),software1-P,34.86
AntNLP (Shanghai),software1-P,34.29
ICS PAS (Warszawa),software1-P,34.06
TurkuNLP (Turku),software1-P,34.04
CUNI x-ling (Praha),software1-P,33.39
BASELINE UDPipe 1.2 (Praha),software1-P,32.86
CEA LIST (Paris),software1-P,32.86
Fudan (Shanghai),software5-P,32.86
LeisureX (Shanghai),software1-P,32.86
UniMelb (Melbourne),software1-P,32.86
ParisNLP (Paris),software1-P,30.64
KParse (İstanbul),software1-P,30.02
Stanford (Stanford),software2,28.8
Phoenix (Shanghai),software1-P,26.78
SLT-Interactions (Bengaluru),software2-P,25.8
BOUN (İstanbul),software2-P,24.25
HUJI (Yerushalayim),software1-P,22.71
iParse (Pittsburgh),software1-P,16.67
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
