HIT-SCIR (Harbin),software1-P,88.62
LATTICE (Paris),software1-P,88.03
CEA LIST (Paris),software1-P,87.08
Stanford (Stanford),software2,86.91
TurkuNLP (Turku),software1-P,86.9
UDPipe Future (Praha),software1-P,86.58
NLP-Cube (București),software1-P,86.1
Uppsala (Uppsala),software1-P,85.85
ParisNLP (Paris),software1-P,85.82
SLT-Interactions (Bengaluru),software2-P,85.21
ICS PAS (Warszawa),software1-P,84.88
AntNLP (Shanghai),software1-P,84.59
iParse (Pittsburgh),software1-P,83.13
IBM NY (Yorktown Heights),software1-P,82.63
LeisureX (Shanghai),software1-P,80.91
Fudan (Shanghai),software5-P,80.18
UniMelb (Melbourne),software1-P,80.02
BOUN (İstanbul),software2-P,79.63
KParse (İstanbul),software1-P,79.37
ONLP lab (Ra'anana),software3-P,69.4
BASELINE UDPipe 1.2 (Praha),software1-P,69.21
Phoenix (Shanghai),software1-P,67.54
HUJI (Yerushalayim),software1-P,65.62
ArmParser (Yerevan),software1-P,64.41
CUNI x-ling (Praha),software1-P,62.49
SParse (İstanbul),software1-P,0.0
