HIT-SCIR (Harbin),software1-P,77.62
Stanford (Stanford),software2,75.8
TurkuNLP (Turku),software1-P,75.62
CEA LIST (Paris),software1-P,75.15
ICS PAS (Warszawa),software1-P,75.09
LATTICE (Paris),software1-P,73.97
UDPipe Future (Praha),software1-P,73.96
ParisNLP (Paris),software1-P,73.01
NLP-Cube (București),software1-P,72.74
AntNLP (Shanghai),software1-P,71.89
iParse (Pittsburgh),software1-P,71.69
SLT-Interactions (Bengaluru),software2-P,71.52
IBM NY (Yorktown Heights),software1-P,69.83
Uppsala (Uppsala),software1-P,69.69
Fudan (Shanghai),software5-P,68.2
LeisureX (Shanghai),software1-P,68.02
UniMelb (Melbourne),software1-P,66.97
KParse (İstanbul),software1-P,65.89
Phoenix (Shanghai),software1-P,65.83
BASELINE UDPipe 1.2 (Praha),software1-P,65.07
BOUN (İstanbul),software2-P,64.25
CUNI x-ling (Praha),software1-P,61.16
HUJI (Yerushalayim),software1-P,59.55
ONLP lab (Ra'anana),software3-P,59.01
ArmParser (Yerevan),software1-P,57.01
SParse (İstanbul),software1-P,0.0
