HIT-SCIR (Harbin),software1-P,91.93
LATTICE (Paris),software1-P,90.59
ICS PAS (Warszawa),software1-P,90.54
Stanford (Stanford),software2,90.44
UDPipe Future (Praha),software1-P,90.11
NLP-Cube (București),software1-P,89.32
CEA LIST (Paris),software1-P,88.91
ParisNLP (Paris),software1-P,88.8
TurkuNLP (Turku),software1-P,88.61
AntNLP (Shanghai),software1-P,88.23
SLT-Interactions (Bengaluru),software2-P,88.0
LeisureX (Shanghai),software1-P,87.76
Uppsala (Uppsala),software1-P,87.09
iParse (Pittsburgh),software1-P,86.14
IBM NY (Yorktown Heights),software1-P,85.24
UniMelb (Melbourne),software1-P,85.23
KParse (İstanbul),software1-P,83.35
BASELINE UDPipe 1.2 (Praha),software1-P,82.06
Fudan (Shanghai),software5-P,82.06
BOUN (İstanbul),software2-P,80.96
Phoenix (Shanghai),software1-P,80.8
ONLP lab (Ra'anana),software3-P,79.22
CUNI x-ling (Praha),software1-P,78.88
HUJI (Yerushalayim),software1-P,74.09
ArmParser (Yerevan),software1-P,62.51
SParse (İstanbul),software1-P,0.0
