HIT-SCIR (Harbin),software1-P,92.84
Stanford (Stanford),software2,92.1
UDPipe Future (Praha),software1-P,91.81
CEA LIST (Paris),software1-P,91.45
LATTICE (Paris),software1-P,91.4
ICS PAS (Warszawa),software1-P,91.39
TurkuNLP (Turku),software1-P,91.27
AntNLP (Shanghai),software1-P,91.21
NLP-Cube (București),software1-P,90.83
ParisNLP (Paris),software1-P,90.83
SLT-Interactions (Bengaluru),software2-P,90.6
LeisureX (Shanghai),software1-P,90.3
Uppsala (Uppsala),software1-P,90.2
iParse (Pittsburgh),software1-P,89.62
IBM NY (Yorktown Heights),software1-P,89.06
UniMelb (Melbourne),software1-P,89.02
Fudan (Shanghai),software5-P,87.19
BASELINE UDPipe 1.2 (Praha),software1-P,86.31
ONLP lab (Ra'anana),software3-P,86.01
Phoenix (Shanghai),software1-P,85.94
KParse (İstanbul),software1-P,85.63
BOUN (İstanbul),software2-P,84.95
CUNI x-ling (Praha),software1-P,84.33
HUJI (Yerushalayim),software1-P,83.74
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
