HIT-SCIR (Harbin),software1-P,92.69
TurkuNLP (Turku),software1-P,91.28
Stanford (Stanford),software2,91.26
UDPipe Future (Praha),software1-P,91.12
CEA LIST (Paris),software1-P,90.99
NLP-Cube (București),software1-P,90.83
ParisNLP (Paris),software1-P,90.81
LATTICE (Paris),software1-P,90.78
ICS PAS (Warszawa),software1-P,90.74
AntNLP (Shanghai),software1-P,90.54
SLT-Interactions (Bengaluru),software2-P,90.07
LeisureX (Shanghai),software1-P,89.67
Uppsala (Uppsala),software1-P,89.64
UniMelb (Melbourne),software1-P,88.88
iParse (Pittsburgh),software1-P,88.58
IBM NY (Yorktown Heights),software1-P,87.83
Fudan (Shanghai),software5-P,86.25
BASELINE UDPipe 1.2 (Praha),software1-P,85.19
Phoenix (Shanghai),software1-P,84.98
ONLP lab (Ra'anana),software3-P,84.25
KParse (İstanbul),software1-P,84.23
CUNI x-ling (Praha),software1-P,83.53
BOUN (İstanbul),software2-P,82.38
HUJI (Yerushalayim),software1-P,75.22
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
