LATTICE (Paris),software1-P,79.77
ICS PAS (Warszawa),software1-P,79.17
HIT-SCIR (Harbin),software1-P,77.95
AntNLP (Shanghai),software1-P,75.49
CEA LIST (Paris),software1-P,71.77
Uppsala (Uppsala),software1-P,70.95
TurkuNLP (Turku),software1-P,70.69
UDPipe Future (Praha),software1-P,70.54
IBM NY (Yorktown Heights),software1-P,70.19
ParisNLP (Paris),software1-P,68.7
KParse (İstanbul),software1-P,68.18
SLT-Interactions (Bengaluru),software2-P,66.55
NLP-Cube (București),software1-P,66.39
BASELINE UDPipe 1.2 (Praha),software1-P,63.58
LeisureX (Shanghai),software1-P,63.58
Phoenix (Shanghai),software1-P,63.03
Fudan (Shanghai),software5-P,63.02
UniMelb (Melbourne),software1-P,62.91
CUNI x-ling (Praha),software1-P,62.79
iParse (Pittsburgh),software1-P,62.58
ONLP lab (Ra'anana),software3-P,61.97
Stanford (Stanford),software2,58.82
ArmParser (Yerevan),software1-P,56.83
BOUN (İstanbul),software2-P,55.96
HUJI (Yerushalayim),software1-P,43.44
SParse (İstanbul),software1-P,0.0
