Stanford (Stanford),software2,92.13
TurkuNLP (Turku),software1-P,92.07
HIT-SCIR (Harbin),software1-P,91.99
CEA LIST (Paris),software1-P,91.76
UDPipe Future (Praha),software1-P,91.68
ICS PAS (Warszawa),software1-P,91.36
NLP-Cube (București),software1-P,90.84
ParisNLP (Paris),software1-P,90.68
Uppsala (Uppsala),software1-P,90.64
LATTICE (Paris),software1-P,90.48
AntNLP (Shanghai),software1-P,90.01
LeisureX (Shanghai),software1-P,89.5
iParse (Pittsburgh),software1-P,88.82
UniMelb (Melbourne),software1-P,88.61
SLT-Interactions (Bengaluru),software2-P,88.22
IBM NY (Yorktown Heights),software1-P,88.12
Phoenix (Shanghai),software1-P,86.39
BASELINE UDPipe 1.2 (Praha),software1-P,86.2
Fudan (Shanghai),software5-P,86.01
KParse (İstanbul),software1-P,85.79
ONLP lab (Ra'anana),software3-P,85.41
CUNI x-ling (Praha),software1-P,84.4
BOUN (İstanbul),software2-P,82.35
HUJI (Yerushalayim),software1-P,75.43
ArmParser (Yerevan),software1-P,67.47
SParse (İstanbul),software1-P,0.0
