HIT-SCIR (Harbin),software1-P,72.25
Stanford (Stanford),software2,71.07
TurkuNLP (Turku),software1-P,70.61
ICS PAS (Warszawa),software1-P,70.16
CEA LIST (Paris),software1-P,69.97
UDPipe Future (Praha),software1-P,69.34
LATTICE (Paris),software1-P,69.06
SLT-Interactions (Bengaluru),software2-P,68.98
NLP-Cube (București),software1-P,68.78
ParisNLP (Paris),software1-P,68.3
Uppsala (Uppsala),software1-P,67.39
AntNLP (Shanghai),software1-P,67.26
UniMelb (Melbourne),software1-P,67.02
iParse (Pittsburgh),software1-P,66.54
IBM NY (Yorktown Heights),software1-P,66.34
KParse (İstanbul),software1-P,65.93
LeisureX (Shanghai),software1-P,64.02
Fudan (Shanghai),software5-P,63.8
Phoenix (Shanghai),software1-P,61.2
BASELINE UDPipe 1.2 (Praha),software1-P,60.71
ONLP lab (Ra'anana),software3-P,60.24
CUNI x-ling (Praha),software1-P,58.13
BOUN (İstanbul),software2-P,57.53
HUJI (Yerushalayim),software1-P,53.61
ArmParser (Yerevan),software1-P,53.31
SParse (İstanbul),software1-P,0.0
