HIT-SCIR (Harbin),software1-P,77.83
UDPipe Future (Praha),software1-P,76.61
ICS PAS (Warszawa),software1-P,75.78
Stanford (Stanford),software2,75.38
SLT-Interactions (Bengaluru),software2-P,75.19
LATTICE (Paris),software1-P,75.11
TurkuNLP (Turku),software1-P,74.93
CEA LIST (Paris),software1-P,74.79
Uppsala (Uppsala),software1-P,74.74
NLP-Cube (București),software1-P,74.56
ParisNLP (Paris),software1-P,73.84
AntNLP (Shanghai),software1-P,73.75
UniMelb (Melbourne),software1-P,73.46
IBM NY (Yorktown Heights),software1-P,72.26
LeisureX (Shanghai),software1-P,71.29
Fudan (Shanghai),software5-P,70.61
KParse (İstanbul),software1-P,70.57
BASELINE UDPipe 1.2 (Praha),software1-P,70.12
BOUN (İstanbul),software2-P,69.38
Phoenix (Shanghai),software1-P,69.1
CUNI x-ling (Praha),software1-P,68.34
ONLP lab (Ra'anana),software3-P,67.47
ArmParser (Yerevan),software1-P,61.41
HUJI (Yerushalayim),software1-P,60.55
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
