HIT-SCIR (Harbin),software1-P,88.88
NLP-Cube (București),software1-P,87.92
ICS PAS (Warszawa),software1-P,87.82
CEA LIST (Paris),software1-P,87.78
TurkuNLP (Turku),software1-P,87.77
Stanford (Stanford),software2,87.63
LATTICE (Paris),software1-P,87.4
UDPipe Future (Praha),software1-P,87.17
ParisNLP (Paris),software1-P,87.05
UniMelb (Melbourne),software1-P,86.71
SLT-Interactions (Bengaluru),software2-P,86.58
AntNLP (Shanghai),software1-P,86.19
LeisureX (Shanghai),software1-P,86.14
Uppsala (Uppsala),software1-P,86.13
iParse (Pittsburgh),software1-P,85.94
IBM NY (Yorktown Heights),software1-P,85.81
KParse (İstanbul),software1-P,84.8
Fudan (Shanghai),software5-P,84.47
ONLP lab (Ra'anana),software3-P,84.45
Phoenix (Shanghai),software1-P,84.13
BASELINE UDPipe 1.2 (Praha),software1-P,84.05
BOUN (İstanbul),software2-P,83.92
CUNI x-ling (Praha),software1-P,83.49
HUJI (Yerushalayim),software1-P,79.65
ArmParser (Yerevan),software1-P,71.82
SParse (İstanbul),software1-P,0.0
