Uppsala (Uppsala),software1-P,48.95
CEA LIST (Paris),software1-P,46.76
CUNI x-ling (Praha),software1-P,45.55
TurkuNLP (Turku),software1-P,40.04
HIT-SCIR (Harbin),software1-P,39.7
Phoenix (Shanghai),software1-P,39.25
UDPipe Future (Praha),software1-P,38.08
AntNLP (Shanghai),software1-P,38.03
BASELINE UDPipe 1.2 (Praha),software1-P,38.03
BOUN (İstanbul),software2-P,38.03
Fudan (Shanghai),software5-P,38.03
HUJI (Yerushalayim),software1-P,38.03
LATTICE (Paris),software1-P,38.03
LeisureX (Shanghai),software1-P,38.03
ParisNLP (Paris),software1-P,38.03
SLT-Interactions (Bengaluru),software2-P,38.03
UniMelb (Melbourne),software1-P,38.03
ONLP lab (Ra'anana),software3-P,37.4
NLP-Cube (București),software1-P,37.03
KParse (İstanbul),software1-P,35.83
ICS PAS (Warszawa),software1-P,30.96
Stanford (Stanford),software2,30.61
iParse (Pittsburgh),software1-P,24.8
ArmParser (Yerevan),software1-P,17.03
IBM NY (Yorktown Heights),software1-P,15.94
SParse (İstanbul),software1-P,0.0
