TurkuNLP (Turku),software1-P,85.63
UDPipe Future (Praha),software1-P,85.05
ICS PAS (Warszawa),software1-P,84.98
Uppsala (Uppsala),software1-P,84.91
KParse (İstanbul),software1-P,81.62
NLP-Cube (București),software1-P,80.99
AntNLP (Shanghai),software1-P,80.79
BASELINE UDPipe 1.2 (Praha),software1-P,80.79
BOUN (İstanbul),software2-P,80.79
CEA LIST (Paris),software1-P,80.79
CUNI x-ling (Praha),software1-P,80.79
Fudan (Shanghai),software5-P,80.79
HIT-SCIR (Harbin),software1-P,80.79
HUJI (Yerushalayim),software1-P,80.79
LATTICE (Paris),software1-P,80.79
LeisureX (Shanghai),software1-P,80.79
ONLP lab (Ra'anana),software3-P,80.79
ParisNLP (Paris),software1-P,80.79
Phoenix (Shanghai),software1-P,80.79
SLT-Interactions (Bengaluru),software2-P,80.79
UniMelb (Melbourne),software1-P,80.79
Stanford (Stanford),software2,80.18
iParse (Pittsburgh),software1-P,59.24
ArmParser (Yerevan),software1-P,56.12
IBM NY (Yorktown Heights),software1-P,51.0
SParse (İstanbul),software1-P,0.0
