UDPipe Future (Praha),software1-P,97.69
Uppsala (Uppsala),software1-P,97.51
TurkuNLP (Turku),software1-P,97.41
CEA LIST (Paris),software1-P,97.38
Stanford (Stanford),software2,97.15
ICS PAS (Warszawa),software1-P,96.93
KParse (İstanbul),software1-P,96.58
NLP-Cube (București),software1-P,96.36
AntNLP (Shanghai),software1-P,95.55
BASELINE UDPipe 1.2 (Praha),software1-P,95.55
BOUN (İstanbul),software2-P,95.55
CUNI x-ling (Praha),software1-P,95.55
Fudan (Shanghai),software5-P,95.55
HIT-SCIR (Harbin),software1-P,95.55
HUJI (Yerushalayim),software1-P,95.55
LATTICE (Paris),software1-P,95.55
LeisureX (Shanghai),software1-P,95.55
ONLP lab (Ra'anana),software3-P,95.55
ParisNLP (Paris),software1-P,95.55
Phoenix (Shanghai),software1-P,95.55
SLT-Interactions (Bengaluru),software2-P,95.55
UniMelb (Melbourne),software1-P,95.55
iParse (Pittsburgh),software1-P,95.55
ArmParser (Yerevan),software1-P,94.84
IBM NY (Yorktown Heights),software1-P,60.44
SParse (İstanbul),software1-P,0.0
