Uppsala (Uppsala),software1-P,70.26
TurkuNLP (Turku),software1-P,56.59
CEA LIST (Paris),software1-P,43.55
UDPipe Future (Praha),software1-P,36.84
Phoenix (Shanghai),software1-P,34.42
CUNI x-ling (Praha),software1-P,33.04
AntNLP (Shanghai),software1-P,29.57
BASELINE UDPipe 1.2 (Praha),software1-P,29.57
BOUN (İstanbul),software2-P,29.57
Fudan (Shanghai),software5-P,29.57
HUJI (Yerushalayim),software1-P,29.57
KParse (İstanbul),software1-P,29.57
LATTICE (Paris),software1-P,29.57
LeisureX (Shanghai),software1-P,29.57
NLP-Cube (București),software1-P,29.57
ONLP lab (Ra'anana),software3-P,29.57
ParisNLP (Paris),software1-P,29.57
SLT-Interactions (Bengaluru),software2-P,29.57
UniMelb (Melbourne),software1-P,29.57
iParse (Pittsburgh),software1-P,29.57
HIT-SCIR (Harbin),software1-P,26.3
ICS PAS (Warszawa),software1-P,25.18
Stanford (Stanford),software2,20.98
IBM NY (Yorktown Heights),software1-P,6.19
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
