UDPipe Future (Praha),software1-P,98.36
ICS PAS (Warszawa),software1-P,97.95
NLP-Cube (București),software1-P,97.94
Uppsala (Uppsala),software1-P,97.9
Stanford (Stanford),software2,97.84
KParse (İstanbul),software1-P,97.8
CEA LIST (Paris),software1-P,97.75
AntNLP (Shanghai),software1-P,97.36
BASELINE UDPipe 1.2 (Praha),software1-P,97.36
BOUN (İstanbul),software2-P,97.36
CUNI x-ling (Praha),software1-P,97.36
Fudan (Shanghai),software5-P,97.36
HIT-SCIR (Harbin),software1-P,97.36
HUJI (Yerushalayim),software1-P,97.36
LATTICE (Paris),software1-P,97.36
LeisureX (Shanghai),software1-P,97.36
ONLP lab (Ra'anana),software3-P,97.36
ParisNLP (Paris),software1-P,97.36
Phoenix (Shanghai),software1-P,97.36
SLT-Interactions (Bengaluru),software2-P,97.36
UniMelb (Melbourne),software1-P,97.36
iParse (Pittsburgh),software1-P,97.36
ArmParser (Yerevan),software1-P,96.66
TurkuNLP (Turku),software1-P,96.66
IBM NY (Yorktown Heights),software1-P,82.44
SParse (İstanbul),software1-P,0.0
