Uppsala (Uppsala),software1-P,95.58
TurkuNLP (Turku),software1-P,95.44
UDPipe Future (Praha),software1-P,95.43
Stanford (Stanford),software2,95.26
ICS PAS (Warszawa),software1-P,94.82
CEA LIST (Paris),software1-P,94.78
KParse (İstanbul),software1-P,94.39
NLP-Cube (București),software1-P,92.41
HIT-SCIR (Harbin),software1-P,92.17
AntNLP (Shanghai),software1-P,92.06
BASELINE UDPipe 1.2 (Praha),software1-P,92.06
CUNI x-ling (Praha),software1-P,92.06
Fudan (Shanghai),software5-P,92.06
HUJI (Yerushalayim),software1-P,92.06
LATTICE (Paris),software1-P,92.06
LeisureX (Shanghai),software1-P,92.06
ONLP lab (Ra'anana),software3-P,92.06
ParisNLP (Paris),software1-P,92.06
Phoenix (Shanghai),software1-P,92.06
SLT-Interactions (Bengaluru),software2-P,92.06
UniMelb (Melbourne),software1-P,92.06
BOUN (İstanbul),software2-P,92.0
ArmParser (Yerevan),software1-P,88.49
IBM NY (Yorktown Heights),software1-P,80.31
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
