TurkuNLP (Turku),software1-P,35.47
HIT-SCIR (Harbin),software1-P,34.72
Uppsala (Uppsala),software1-P,34.56
CUNI x-ling (Praha),software1-P,34.21
CEA LIST (Paris),software1-P,33.52
Phoenix (Shanghai),software1-P,33.11
UDPipe Future (Praha),software1-P,32.19
ICS PAS (Warszawa),software1-P,28.66
Stanford (Stanford),software2,26.2
AntNLP (Shanghai),software1-P,24.06
BASELINE UDPipe 1.2 (Praha),software1-P,24.06
BOUN (İstanbul),software2-P,24.06
Fudan (Shanghai),software5-P,24.06
HUJI (Yerushalayim),software1-P,24.06
KParse (İstanbul),software1-P,24.06
LATTICE (Paris),software1-P,24.06
LeisureX (Shanghai),software1-P,24.06
NLP-Cube (București),software1-P,24.06
ONLP lab (Ra'anana),software3-P,24.06
ParisNLP (Paris),software1-P,24.06
SLT-Interactions (Bengaluru),software2-P,24.06
UniMelb (Melbourne),software1-P,24.06
IBM NY (Yorktown Heights),software1-P,4.86
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
