UDPipe Future (Praha),software1-P,90.05
TurkuNLP (Turku),software1-P,89.07
CEA LIST (Paris),software1-P,88.87
Uppsala (Uppsala),software1-P,88.6
Stanford (Stanford),software2,88.18
KParse (İstanbul),software1-P,87.78
HIT-SCIR (Harbin),software1-P,87.37
AntNLP (Shanghai),software1-P,87.07
BASELINE UDPipe 1.2 (Praha),software1-P,87.07
BOUN (İstanbul),software2-P,87.07
CUNI x-ling (Praha),software1-P,87.07
Fudan (Shanghai),software5-P,87.07
HUJI (Yerushalayim),software1-P,87.07
LATTICE (Paris),software1-P,87.07
LeisureX (Shanghai),software1-P,87.07
ONLP lab (Ra'anana),software3-P,87.07
ParisNLP (Paris),software1-P,87.07
Phoenix (Shanghai),software1-P,87.07
SLT-Interactions (Bengaluru),software2-P,87.07
UniMelb (Melbourne),software1-P,87.07
iParse (Pittsburgh),software1-P,87.07
ArmParser (Yerevan),software1-P,86.23
ICS PAS (Warszawa),software1-P,85.1
NLP-Cube (București),software1-P,84.42
IBM NY (Yorktown Heights),software1-P,59.03
SParse (İstanbul),software1-P,0.0
