Stanford (Stanford),software2,90.54
UDPipe Future (Praha),software1-P,90.3
ICS PAS (Warszawa),software1-P,90.24
Uppsala (Uppsala),software1-P,90.12
TurkuNLP (Turku),software1-P,89.94
CEA LIST (Paris),software1-P,89.71
KParse (İstanbul),software1-P,87.43
AntNLP (Shanghai),software1-P,85.82
BASELINE UDPipe 1.2 (Praha),software1-P,85.82
BOUN (İstanbul),software2-P,85.82
CUNI x-ling (Praha),software1-P,85.82
Fudan (Shanghai),software5-P,85.82
HIT-SCIR (Harbin),software1-P,85.82
HUJI (Yerushalayim),software1-P,85.82
LATTICE (Paris),software1-P,85.82
LeisureX (Shanghai),software1-P,85.82
ONLP lab (Ra'anana),software3-P,85.82
ParisNLP (Paris),software1-P,85.82
Phoenix (Shanghai),software1-P,85.82
SLT-Interactions (Bengaluru),software2-P,85.82
UniMelb (Melbourne),software1-P,85.82
iParse (Pittsburgh),software1-P,85.82
ArmParser (Yerevan),software1-P,84.95
NLP-Cube (București),software1-P,83.81
IBM NY (Yorktown Heights),software1-P,53.72
SParse (İstanbul),software1-P,0.0
