UDPipe Future (Praha),software1-P,92.12
TurkuNLP (Turku),software1-P,91.93
Stanford (Stanford),software2,91.91
Uppsala (Uppsala),software1-P,91.7
NLP-Cube (București),software1-P,90.52
ICS PAS (Warszawa),software1-P,90.35
CEA LIST (Paris),software1-P,89.81
KParse (İstanbul),software1-P,89.13
AntNLP (Shanghai),software1-P,84.5
BASELINE UDPipe 1.2 (Praha),software1-P,84.5
BOUN (İstanbul),software2-P,84.5
CUNI x-ling (Praha),software1-P,84.5
Fudan (Shanghai),software5-P,84.5
HIT-SCIR (Harbin),software1-P,84.5
HUJI (Yerushalayim),software1-P,84.5
LATTICE (Paris),software1-P,84.5
LeisureX (Shanghai),software1-P,84.5
ONLP lab (Ra'anana),software3-P,84.5
ParisNLP (Paris),software1-P,84.5
Phoenix (Shanghai),software1-P,84.5
SLT-Interactions (Bengaluru),software2-P,84.5
UniMelb (Melbourne),software1-P,84.5
iParse (Pittsburgh),software1-P,84.5
ArmParser (Yerevan),software1-P,82.37
IBM NY (Yorktown Heights),software1-P,69.4
SParse (İstanbul),software1-P,0.0
