CUNI x-ling (Praha),software1-P,59.68
AntNLP (Shanghai),software1-P,57.07
BASELINE UDPipe 1.2 (Praha),software1-P,57.07
BOUN (İstanbul),software2-P,57.07
CEA LIST (Paris),software1-P,57.07
Fudan (Shanghai),software5-P,57.07
HUJI (Yerushalayim),software1-P,57.07
LATTICE (Paris),software1-P,57.07
LeisureX (Shanghai),software1-P,57.07
NLP-Cube (București),software1-P,57.07
ONLP lab (Ra'anana),software3-P,57.07
ParisNLP (Paris),software1-P,57.07
Phoenix (Shanghai),software1-P,57.07
SLT-Interactions (Bengaluru),software2-P,57.07
UniMelb (Melbourne),software1-P,57.07
iParse (Pittsburgh),software1-P,57.07
ArmParser (Yerevan),software1-P,56.99
Uppsala (Uppsala),software1-P,54.45
KParse (İstanbul),software1-P,51.19
HIT-SCIR (Harbin),software1-P,46.4
TurkuNLP (Turku),software1-P,46.05
ICS PAS (Warszawa),software1-P,40.25
UDPipe Future (Praha),software1-P,40.09
Stanford (Stanford),software2,39.6
IBM NY (Yorktown Heights),software1-P,20.08
SParse (İstanbul),software1-P,0.0
