ICS PAS (Warszawa),software1-P,82.99
TurkuNLP (Turku),software1-P,79.19
Uppsala (Uppsala),software1-P,78.86
UDPipe Future (Praha),software1-P,78.02
KParse (İstanbul),software1-P,77.55
Stanford (Stanford),software2,74.49
NLP-Cube (București),software1-P,72.63
AntNLP (Shanghai),software1-P,72.07
BASELINE UDPipe 1.2 (Praha),software1-P,72.07
BOUN (İstanbul),software2-P,72.07
CEA LIST (Paris),software1-P,72.07
CUNI x-ling (Praha),software1-P,72.07
Fudan (Shanghai),software5-P,72.07
HIT-SCIR (Harbin),software1-P,72.07
HUJI (Yerushalayim),software1-P,72.07
LATTICE (Paris),software1-P,72.07
LeisureX (Shanghai),software1-P,72.07
ONLP lab (Ra'anana),software3-P,72.07
ParisNLP (Paris),software1-P,72.07
Phoenix (Shanghai),software1-P,72.07
SLT-Interactions (Bengaluru),software2-P,72.07
UniMelb (Melbourne),software1-P,72.07
ArmParser (Yerevan),software1-P,71.6
IBM NY (Yorktown Heights),software1-P,35.33
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
