UDPipe Future (Praha),software1-P,51.12
CEA LIST (Paris),software1-P,43.09
AntNLP (Shanghai),software1-P,42.47
BASELINE UDPipe 1.2 (Praha),software1-P,42.47
BOUN (İstanbul),software2-P,42.47
Fudan (Shanghai),software5-P,42.47
HUJI (Yerushalayim),software1-P,42.47
KParse (İstanbul),software1-P,42.47
LATTICE (Paris),software1-P,42.47
LeisureX (Shanghai),software1-P,42.47
NLP-Cube (București),software1-P,42.47
ONLP lab (Ra'anana),software3-P,42.47
ParisNLP (Paris),software1-P,42.47
SLT-Interactions (Bengaluru),software2-P,42.47
UniMelb (Melbourne),software1-P,42.47
Phoenix (Shanghai),software1-P,39.77
Stanford (Stanford),software2,36.18
Uppsala (Uppsala),software1-P,36.09
HIT-SCIR (Harbin),software1-P,34.6
CUNI x-ling (Praha),software1-P,33.41
ICS PAS (Warszawa),software1-P,33.16
TurkuNLP (Turku),software1-P,30.85
IBM NY (Yorktown Heights),software1-P,2.09
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
