UDPipe Future (Praha),software1-P,97.17
TurkuNLP (Turku),software1-P,96.59
ICS PAS (Warszawa),software1-P,96.32
NLP-Cube (București),software1-P,96.2
Stanford (Stanford),software2,95.76
CEA LIST (Paris),software1-P,95.69
Uppsala (Uppsala),software1-P,94.89
AntNLP (Shanghai),software1-P,93.57
BASELINE UDPipe 1.2 (Praha),software1-P,93.57
BOUN (İstanbul),software2-P,93.57
CUNI x-ling (Praha),software1-P,93.57
Fudan (Shanghai),software5-P,93.57
HIT-SCIR (Harbin),software1-P,93.57
HUJI (Yerushalayim),software1-P,93.57
KParse (İstanbul),software1-P,93.57
LATTICE (Paris),software1-P,93.57
LeisureX (Shanghai),software1-P,93.57
ONLP lab (Ra'anana),software3-P,93.57
ParisNLP (Paris),software1-P,93.57
Phoenix (Shanghai),software1-P,93.57
SLT-Interactions (Bengaluru),software2-P,93.57
UniMelb (Melbourne),software1-P,93.57
ArmParser (Yerevan),software1-P,91.95
IBM NY (Yorktown Heights),software1-P,57.12
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
