UDPipe Future (Praha),software1-P,91.45
TurkuNLP (Turku),software1-P,90.87
CEA LIST (Paris),software1-P,90.71
Stanford (Stanford),software2,90.69
ICS PAS (Warszawa),software1-P,89.33
NLP-Cube (București),software1-P,88.6
AntNLP (Shanghai),software1-P,83.24
BASELINE UDPipe 1.2 (Praha),software1-P,83.24
CUNI x-ling (Praha),software1-P,83.24
Fudan (Shanghai),software5-P,83.24
HIT-SCIR (Harbin),software1-P,83.24
HUJI (Yerushalayim),software1-P,83.24
KParse (İstanbul),software1-P,83.24
LATTICE (Paris),software1-P,83.24
LeisureX (Shanghai),software1-P,83.24
ONLP lab (Ra'anana),software3-P,83.24
ParisNLP (Paris),software1-P,83.24
Phoenix (Shanghai),software1-P,83.24
SLT-Interactions (Bengaluru),software2-P,83.24
UniMelb (Melbourne),software1-P,83.24
BOUN (İstanbul),software2-P,83.23
Uppsala (Uppsala),software1-P,81.95
ArmParser (Yerevan),software1-P,81.4
IBM NY (Yorktown Heights),software1-P,77.23
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
