HIT-SCIR (Harbin),software1-P,95.22
Uppsala (Uppsala),software1-P,94.68
UDPipe Future (Praha),software1-P,94.53
Stanford (Stanford),software2,94.47
TurkuNLP (Turku),software1-P,94.36
CEA LIST (Paris),software1-P,94.1
LATTICE (Paris),software1-P,93.98
SLT-Interactions (Bengaluru),software2-P,93.98
ICS PAS (Warszawa),software1-P,93.95
NLP-Cube (București),software1-P,93.91
UniMelb (Melbourne),software1-P,93.18
IBM NY (Yorktown Heights),software1-P,92.85
KParse (İstanbul),software1-P,92.8
CUNI x-ling (Praha),software1-P,92.57
ParisNLP (Paris),software1-P,92.51
AntNLP (Shanghai),software1-P,92.48
BASELINE UDPipe 1.2 (Praha),software1-P,92.48
ONLP lab (Ra'anana),software3-P,92.48
Phoenix (Shanghai),software1-P,92.48
Fudan (Shanghai),software5-P,92.37
BOUN (İstanbul),software2-P,92.3
LeisureX (Shanghai),software1-P,92.25
HUJI (Yerushalayim),software1-P,89.43
ArmParser (Yerevan),software1-P,80.72
iParse (Pittsburgh),software1-P,74.93
SParse (İstanbul),software1-P,3.03
