HIT-SCIR (Harbin),software1-P,92.84
LATTICE (Paris),software1-P,92.82
TurkuNLP (Turku),software1-P,91.93
ICS PAS (Warszawa),software1-P,91.34
UDPipe Future (Praha),software1-P,91.01
Uppsala (Uppsala),software1-P,90.93
NLP-Cube (București),software1-P,88.84
KParse (İstanbul),software1-P,87.81
IBM NY (Yorktown Heights),software1-P,87.37
AntNLP (Shanghai),software1-P,87.36
BASELINE UDPipe 1.2 (Praha),software1-P,87.36
BOUN (İstanbul),software2-P,87.36
CEA LIST (Paris),software1-P,87.36
CUNI x-ling (Praha),software1-P,87.36
Fudan (Shanghai),software5-P,87.36
HUJI (Yerushalayim),software1-P,87.36
LeisureX (Shanghai),software1-P,87.36
ONLP lab (Ra'anana),software3-P,87.36
ParisNLP (Paris),software1-P,87.36
Phoenix (Shanghai),software1-P,87.36
SLT-Interactions (Bengaluru),software2-P,87.36
Stanford (Stanford),software2,87.28
UniMelb (Melbourne),software1-P,87.12
iParse (Pittsburgh),software1-P,62.71
ArmParser (Yerevan),software1-P,62.15
SParse (İstanbul),software1-P,0.0
