HIT-SCIR (Harbin),software1-P,96.43
UDPipe Future (Praha),software1-P,96.34
CEA LIST (Paris),software1-P,96.09
TurkuNLP (Turku),software1-P,96.09
Uppsala (Uppsala),software1-P,95.76
Stanford (Stanford),software2,95.28
IBM NY (Yorktown Heights),software1-P,94.92
LATTICE (Paris),software1-P,94.75
SLT-Interactions (Bengaluru),software2-P,94.66
AntNLP (Shanghai),software1-P,93.7
BASELINE UDPipe 1.2 (Praha),software1-P,93.7
BOUN (İstanbul),software2-P,93.7
CUNI x-ling (Praha),software1-P,93.7
Fudan (Shanghai),software5-P,93.7
HUJI (Yerushalayim),software1-P,93.7
KParse (İstanbul),software1-P,93.7
LeisureX (Shanghai),software1-P,93.7
ONLP lab (Ra'anana),software3-P,93.7
ParisNLP (Paris),software1-P,93.7
Phoenix (Shanghai),software1-P,93.7
iParse (Pittsburgh),software1-P,93.7
UniMelb (Melbourne),software1-P,93.37
ICS PAS (Warszawa),software1-P,93.25
NLP-Cube (București),software1-P,93.23
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
