HIT-SCIR (Harbin),software1-P,97.88
UDPipe Future (Praha),software1-P,97.72
Stanford (Stanford),software2,97.63
CEA LIST (Paris),software1-P,97.38
ICS PAS (Warszawa),software1-P,97.36
TurkuNLP (Turku),software1-P,97.3
Uppsala (Uppsala),software1-P,97.14
SLT-Interactions (Bengaluru),software2-P,97.08
NLP-Cube (București),software1-P,96.93
LATTICE (Paris),software1-P,96.41
UniMelb (Melbourne),software1-P,96.02
KParse (İstanbul),software1-P,95.62
AntNLP (Shanghai),software1-P,95.44
BASELINE UDPipe 1.2 (Praha),software1-P,95.44
BOUN (İstanbul),software2-P,95.44
CUNI x-ling (Praha),software1-P,95.44
Fudan (Shanghai),software5-P,95.44
HUJI (Yerushalayim),software1-P,95.44
LeisureX (Shanghai),software1-P,95.44
ONLP lab (Ra'anana),software3-P,95.44
ParisNLP (Paris),software1-P,95.44
Phoenix (Shanghai),software1-P,95.44
iParse (Pittsburgh),software1-P,95.44
IBM NY (Yorktown Heights),software1-P,95.23
ArmParser (Yerevan),software1-P,94.45
SParse (İstanbul),software1-P,0.0
