LATTICE (Paris),software1-P,96.44
HIT-SCIR (Harbin),software1-P,96.1
SLT-Interactions (Bengaluru),software2-P,95.99
Stanford (Stanford),software2,95.56
UDPipe Future (Praha),software1-P,95.55
ICS PAS (Warszawa),software1-P,95.52
CEA LIST (Paris),software1-P,95.07
NLP-Cube (București),software1-P,94.71
Uppsala (Uppsala),software1-P,94.67
UniMelb (Melbourne),software1-P,93.84
KParse (İstanbul),software1-P,93.75
TurkuNLP (Turku),software1-P,93.41
AntNLP (Shanghai),software1-P,93.24
BASELINE UDPipe 1.2 (Praha),software1-P,93.24
BOUN (İstanbul),software2-P,93.24
CUNI x-ling (Praha),software1-P,93.24
Fudan (Shanghai),software5-P,93.24
HUJI (Yerushalayim),software1-P,93.24
LeisureX (Shanghai),software1-P,93.24
ONLP lab (Ra'anana),software3-P,93.24
ParisNLP (Paris),software1-P,93.24
Phoenix (Shanghai),software1-P,93.24
iParse (Pittsburgh),software1-P,93.24
IBM NY (Yorktown Heights),software1-P,92.62
ArmParser (Yerevan),software1-P,89.94
SParse (İstanbul),software1-P,0.0
