HIT-SCIR (Harbin),software1-P,97.3
LATTICE (Paris),software1-P,97.12
Uppsala (Uppsala),software1-P,97.06
Stanford (Stanford),software2,96.83
UDPipe Future (Praha),software1-P,96.75
TurkuNLP (Turku),software1-P,96.66
CEA LIST (Paris),software1-P,96.53
ICS PAS (Warszawa),software1-P,96.53
SLT-Interactions (Bengaluru),software2-P,96.16
UniMelb (Melbourne),software1-P,95.69
NLP-Cube (București),software1-P,95.52
KParse (İstanbul),software1-P,95.26
IBM NY (Yorktown Heights),software1-P,94.78
AntNLP (Shanghai),software1-P,94.37
BASELINE UDPipe 1.2 (Praha),software1-P,94.37
CUNI x-ling (Praha),software1-P,94.37
Fudan (Shanghai),software5-P,94.37
HUJI (Yerushalayim),software1-P,94.37
LeisureX (Shanghai),software1-P,94.37
ONLP lab (Ra'anana),software3-P,94.37
ParisNLP (Paris),software1-P,94.37
Phoenix (Shanghai),software1-P,94.37
BOUN (İstanbul),software2-P,94.3
ArmParser (Yerevan),software1-P,92.35
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
