Uppsala (Uppsala),software1-P,65.54
CEA LIST (Paris),software1-P,63.53
UDPipe Future (Praha),software1-P,62.0
IBM NY (Yorktown Heights),software1-P,59.82
SLT-Interactions (Bengaluru),software2-P,59.61
CUNI x-ling (Praha),software1-P,58.65
ICS PAS (Warszawa),software1-P,58.41
Stanford (Stanford),software2,57.98
HIT-SCIR (Harbin),software1-P,54.08
TurkuNLP (Turku),software1-P,53.54
LATTICE (Paris),software1-P,50.59
Phoenix (Shanghai),software1-P,49.91
AntNLP (Shanghai),software1-P,44.66
BASELINE UDPipe 1.2 (Praha),software1-P,44.66
BOUN (İstanbul),software2-P,44.66
Fudan (Shanghai),software5-P,44.66
HUJI (Yerushalayim),software1-P,44.66
KParse (İstanbul),software1-P,44.66
LeisureX (Shanghai),software1-P,44.66
NLP-Cube (București),software1-P,44.66
ONLP lab (Ra'anana),software3-P,44.66
ParisNLP (Paris),software1-P,44.66
UniMelb (Melbourne),software1-P,44.66
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
