Stanford (Stanford),software2,96.97
Uppsala (Uppsala),software1-P,96.86
LATTICE (Paris),software1-P,96.52
HIT-SCIR (Harbin),software1-P,96.42
UDPipe Future (Praha),software1-P,96.32
ICS PAS (Warszawa),software1-P,96.23
IBM NY (Yorktown Heights),software1-P,96.2
SLT-Interactions (Bengaluru),software2-P,96.12
CEA LIST (Paris),software1-P,96.1
TurkuNLP (Turku),software1-P,96.02
UniMelb (Melbourne),software1-P,95.92
KParse (İstanbul),software1-P,95.82
AntNLP (Shanghai),software1-P,95.75
BASELINE UDPipe 1.2 (Praha),software1-P,95.75
CUNI x-ling (Praha),software1-P,95.75
Fudan (Shanghai),software5-P,95.75
HUJI (Yerushalayim),software1-P,95.75
LeisureX (Shanghai),software1-P,95.75
ONLP lab (Ra'anana),software3-P,95.75
ParisNLP (Paris),software1-P,95.75
Phoenix (Shanghai),software1-P,95.75
iParse (Pittsburgh),software1-P,95.75
BOUN (İstanbul),software2-P,95.73
ArmParser (Yerevan),software1-P,95.19
NLP-Cube (București),software1-P,95.16
SParse (İstanbul),software1-P,0.0
