Stanford (Stanford),software2,98.15
LATTICE (Paris),software1-P,98.12
HIT-SCIR (Harbin),software1-P,98.02
Uppsala (Uppsala),software1-P,97.92
SLT-Interactions (Bengaluru),software2-P,97.83
UDPipe Future (Praha),software1-P,97.56
ICS PAS (Warszawa),software1-P,97.44
TurkuNLP (Turku),software1-P,97.42
CEA LIST (Paris),software1-P,97.4
KParse (İstanbul),software1-P,97.05
UniMelb (Melbourne),software1-P,96.86
NLP-Cube (București),software1-P,96.08
IBM NY (Yorktown Heights),software1-P,96.03
AntNLP (Shanghai),software1-P,95.84
BASELINE UDPipe 1.2 (Praha),software1-P,95.84
CUNI x-ling (Praha),software1-P,95.84
Fudan (Shanghai),software5-P,95.84
HUJI (Yerushalayim),software1-P,95.84
LeisureX (Shanghai),software1-P,95.84
ONLP lab (Ra'anana),software3-P,95.84
ParisNLP (Paris),software1-P,95.84
Phoenix (Shanghai),software1-P,95.84
iParse (Pittsburgh),software1-P,95.84
BOUN (İstanbul),software2-P,95.73
ArmParser (Yerevan),software1-P,95.11
SParse (İstanbul),software1-P,0.0
