SLT-Interactions (Bengaluru),software2-P,95.12
UDPipe Future (Praha),software1-P,94.44
LATTICE (Paris),software1-P,93.97
TurkuNLP (Turku),software1-P,93.81
Uppsala (Uppsala),software1-P,93.25
HIT-SCIR (Harbin),software1-P,93.04
ICS PAS (Warszawa),software1-P,92.88
UniMelb (Melbourne),software1-P,92.44
KParse (İstanbul),software1-P,91.54
AntNLP (Shanghai),software1-P,91.09
BASELINE UDPipe 1.2 (Praha),software1-P,91.09
BOUN (İstanbul),software2-P,91.09
CEA LIST (Paris),software1-P,91.09
CUNI x-ling (Praha),software1-P,91.09
Fudan (Shanghai),software5-P,91.09
HUJI (Yerushalayim),software1-P,91.09
LeisureX (Shanghai),software1-P,91.09
ONLP lab (Ra'anana),software3-P,91.09
ParisNLP (Paris),software1-P,91.09
Phoenix (Shanghai),software1-P,91.09
iParse (Pittsburgh),software1-P,91.09
NLP-Cube (București),software1-P,90.25
ArmParser (Yerevan),software1-P,89.84
IBM NY (Yorktown Heights),software1-P,88.34
Stanford (Stanford),software2,87.41
SParse (İstanbul),software1-P,0.0
