HIT-SCIR (Harbin),software1-P,94.38
LATTICE (Paris),software1-P,92.54
Uppsala (Uppsala),software1-P,92.4
UDPipe Future (Praha),software1-P,92.1
CEA LIST (Paris),software1-P,91.94
TurkuNLP (Turku),software1-P,91.93
ICS PAS (Warszawa),software1-P,91.78
IBM NY (Yorktown Heights),software1-P,90.94
Stanford (Stanford),software2,90.86
SLT-Interactions (Bengaluru),software2-P,90.45
KParse (İstanbul),software1-P,90.07
UniMelb (Melbourne),software1-P,88.92
NLP-Cube (București),software1-P,87.82
AntNLP (Shanghai),software1-P,82.37
BASELINE UDPipe 1.2 (Praha),software1-P,82.37
BOUN (İstanbul),software2-P,82.37
CUNI x-ling (Praha),software1-P,82.37
Fudan (Shanghai),software5-P,82.37
HUJI (Yerushalayim),software1-P,82.37
LeisureX (Shanghai),software1-P,82.37
ONLP lab (Ra'anana),software3-P,82.37
ParisNLP (Paris),software1-P,82.37
Phoenix (Shanghai),software1-P,82.37
iParse (Pittsburgh),software1-P,82.37
ArmParser (Yerevan),software1-P,81.38
SParse (İstanbul),software1-P,0.0
