HIT-SCIR (Harbin),software1-P,96.43
UDPipe Future (Praha),software1-P,95.48
CEA LIST (Paris),software1-P,95.4
Stanford (Stanford),software2,95.35
ICS PAS (Warszawa),software1-P,95.33
SLT-Interactions (Bengaluru),software2-P,95.14
NLP-Cube (București),software1-P,94.97
Uppsala (Uppsala),software1-P,94.6
TurkuNLP (Turku),software1-P,94.23
UniMelb (Melbourne),software1-P,91.97
ParisNLP (Paris),software1-P,91.82
LATTICE (Paris),software1-P,91.58
AntNLP (Shanghai),software1-P,90.59
BASELINE UDPipe 1.2 (Praha),software1-P,90.59
BOUN (İstanbul),software2-P,90.59
CUNI x-ling (Praha),software1-P,90.59
Fudan (Shanghai),software5-P,90.59
HUJI (Yerushalayim),software1-P,90.59
IBM NY (Yorktown Heights),software1-P,90.59
LeisureX (Shanghai),software1-P,90.59
ONLP lab (Ra'anana),software3-P,90.59
Phoenix (Shanghai),software1-P,90.59
iParse (Pittsburgh),software1-P,90.59
ArmParser (Yerevan),software1-P,89.38
KParse (İstanbul),software1-P,86.92
SParse (İstanbul),software1-P,0.0
