CEA LIST (Paris),software1-P,93.94
HIT-SCIR (Harbin),software1-P,93.79
SLT-Interactions (Bengaluru),software2-P,93.79
Stanford (Stanford),software2,93.74
Uppsala (Uppsala),software1-P,93.7
UDPipe Future (Praha),software1-P,93.55
UniMelb (Melbourne),software1-P,93.29
ICS PAS (Warszawa),software1-P,93.25
NLP-Cube (București),software1-P,93.09
IBM NY (Yorktown Heights),software1-P,93.03
LATTICE (Paris),software1-P,93.01
AntNLP (Shanghai),software1-P,92.99
BASELINE UDPipe 1.2 (Praha),software1-P,92.99
BOUN (İstanbul),software2-P,92.99
CUNI x-ling (Praha),software1-P,92.99
Fudan (Shanghai),software5-P,92.99
HUJI (Yerushalayim),software1-P,92.99
LeisureX (Shanghai),software1-P,92.99
ONLP lab (Ra'anana),software3-P,92.99
ParisNLP (Paris),software1-P,92.99
Phoenix (Shanghai),software1-P,92.99
iParse (Pittsburgh),software1-P,92.99
ArmParser (Yerevan),software1-P,92.89
KParse (İstanbul),software1-P,92.64
TurkuNLP (Turku),software1-P,91.92
SParse (İstanbul),software1-P,0.0
