HIT-SCIR (Harbin),software1-P,96.33
Stanford (Stanford),software2,96.15
UDPipe Future (Praha),software1-P,96.13
CEA LIST (Paris),software1-P,96.12
TurkuNLP (Turku),software1-P,96.12
LATTICE (Paris),software1-P,96.11
Uppsala (Uppsala),software1-P,95.61
SLT-Interactions (Bengaluru),software2-P,95.56
NLP-Cube (București),software1-P,95.27
KParse (İstanbul),software1-P,94.56
IBM NY (Yorktown Heights),software1-P,94.37
ICS PAS (Warszawa),software1-P,93.87
AntNLP (Shanghai),software1-P,93.44
BASELINE UDPipe 1.2 (Praha),software1-P,93.44
BOUN (İstanbul),software2-P,93.44
CUNI x-ling (Praha),software1-P,93.44
Fudan (Shanghai),software5-P,93.44
HUJI (Yerushalayim),software1-P,93.44
LeisureX (Shanghai),software1-P,93.44
ONLP lab (Ra'anana),software3-P,93.44
ParisNLP (Paris),software1-P,93.44
Phoenix (Shanghai),software1-P,93.44
iParse (Pittsburgh),software1-P,93.44
ArmParser (Yerevan),software1-P,93.11
UniMelb (Melbourne),software1-P,93.03
SParse (İstanbul),software1-P,0.0
