HIT-SCIR (Harbin),software1-P,95.68
TurkuNLP (Turku),software1-P,95.65
UDPipe Future (Praha),software1-P,95.65
CEA LIST (Paris),software1-P,95.37
Stanford (Stanford),software2,95.36
SLT-Interactions (Bengaluru),software2-P,95.35
LATTICE (Paris),software1-P,95.24
Uppsala (Uppsala),software1-P,95.21
NLP-Cube (București),software1-P,95.12
KParse (İstanbul),software1-P,94.84
IBM NY (Yorktown Heights),software1-P,94.6
UniMelb (Melbourne),software1-P,93.53
AntNLP (Shanghai),software1-P,93.32
BASELINE UDPipe 1.2 (Praha),software1-P,93.32
BOUN (İstanbul),software2-P,93.32
CUNI x-ling (Praha),software1-P,93.32
Fudan (Shanghai),software5-P,93.32
HUJI (Yerushalayim),software1-P,93.32
LeisureX (Shanghai),software1-P,93.32
ONLP lab (Ra'anana),software3-P,93.32
ParisNLP (Paris),software1-P,93.32
Phoenix (Shanghai),software1-P,93.32
iParse (Pittsburgh),software1-P,93.32
ArmParser (Yerevan),software1-P,93.08
ICS PAS (Warszawa),software1-P,92.99
SParse (İstanbul),software1-P,0.0
