HIT-SCIR (Harbin),software1-P,92.41
TurkuNLP (Turku),software1-P,90.52
LATTICE (Paris),software1-P,90.51
ICS PAS (Warszawa),software1-P,90.49
SLT-Interactions (Bengaluru),software2-P,89.71
Uppsala (Uppsala),software1-P,88.73
UDPipe Future (Praha),software1-P,87.64
KParse (İstanbul),software1-P,87.13
Stanford (Stanford),software2,87.09
NLP-Cube (București),software1-P,85.69
AntNLP (Shanghai),software1-P,83.34
BASELINE UDPipe 1.2 (Praha),software1-P,83.34
BOUN (İstanbul),software2-P,83.34
CEA LIST (Paris),software1-P,83.34
CUNI x-ling (Praha),software1-P,83.34
Fudan (Shanghai),software5-P,83.34
HUJI (Yerushalayim),software1-P,83.34
LeisureX (Shanghai),software1-P,83.34
ONLP lab (Ra'anana),software3-P,83.34
ParisNLP (Paris),software1-P,83.34
Phoenix (Shanghai),software1-P,83.34
ArmParser (Yerevan),software1-P,83.07
UniMelb (Melbourne),software1-P,82.37
IBM NY (Yorktown Heights),software1-P,81.84
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
