HIT-SCIR (Harbin),software1-P,98.69
Uppsala (Uppsala),software1-P,98.57
UDPipe Future (Praha),software1-P,98.56
CEA LIST (Paris),software1-P,98.54
Stanford (Stanford),software2,98.49
SLT-Interactions (Bengaluru),software2-P,98.42
TurkuNLP (Turku),software1-P,98.35
NLP-Cube (București),software1-P,98.31
LATTICE (Paris),software1-P,98.3
ICS PAS (Warszawa),software1-P,98.27
UniMelb (Melbourne),software1-P,98.07
IBM NY (Yorktown Heights),software1-P,97.06
AntNLP (Shanghai),software1-P,96.77
BASELINE UDPipe 1.2 (Praha),software1-P,96.77
BOUN (İstanbul),software2-P,96.77
CUNI x-ling (Praha),software1-P,96.77
Fudan (Shanghai),software5-P,96.77
HUJI (Yerushalayim),software1-P,96.77
KParse (İstanbul),software1-P,96.77
LeisureX (Shanghai),software1-P,96.77
ONLP lab (Ra'anana),software3-P,96.77
ParisNLP (Paris),software1-P,96.77
Phoenix (Shanghai),software1-P,96.77
iParse (Pittsburgh),software1-P,96.77
ArmParser (Yerevan),software1-P,95.83
SParse (İstanbul),software1-P,0.0
