UDPipe Future (Praha),software1-P,98.2
HIT-SCIR (Harbin),software1-P,98.19
Stanford (Stanford),software2,98.06
CEA LIST (Paris),software1-P,98.05
LATTICE (Paris),software1-P,97.99
SLT-Interactions (Bengaluru),software2-P,97.96
Uppsala (Uppsala),software1-P,97.95
TurkuNLP (Turku),software1-P,97.94
ICS PAS (Warszawa),software1-P,97.72
NLP-Cube (București),software1-P,97.13
UniMelb (Melbourne),software1-P,96.9
AntNLP (Shanghai),software1-P,95.5
BASELINE UDPipe 1.2 (Praha),software1-P,95.5
BOUN (İstanbul),software2-P,95.5
CUNI x-ling (Praha),software1-P,95.5
Fudan (Shanghai),software5-P,95.5
HUJI (Yerushalayim),software1-P,95.5
KParse (İstanbul),software1-P,95.5
LeisureX (Shanghai),software1-P,95.5
ONLP lab (Ra'anana),software3-P,95.5
ParisNLP (Paris),software1-P,95.5
Phoenix (Shanghai),software1-P,95.5
iParse (Pittsburgh),software1-P,95.5
IBM NY (Yorktown Heights),software1-P,94.97
ArmParser (Yerevan),software1-P,94.51
SParse (İstanbul),software1-P,0.0
