Stanford (Stanford),software2,97.66
HIT-SCIR (Harbin),software1-P,97.63
UDPipe Future (Praha),software1-P,97.56
TurkuNLP (Turku),software1-P,97.55
CEA LIST (Paris),software1-P,97.47
ICS PAS (Warszawa),software1-P,97.47
NLP-Cube (București),software1-P,97.46
Uppsala (Uppsala),software1-P,97.46
LATTICE (Paris),software1-P,97.33
SLT-Interactions (Bengaluru),software2-P,97.27
UniMelb (Melbourne),software1-P,97.11
IBM NY (Yorktown Heights),software1-P,96.64
AntNLP (Shanghai),software1-P,96.62
BASELINE UDPipe 1.2 (Praha),software1-P,96.62
BOUN (İstanbul),software2-P,96.62
CUNI x-ling (Praha),software1-P,96.62
Fudan (Shanghai),software5-P,96.62
HUJI (Yerushalayim),software1-P,96.62
KParse (İstanbul),software1-P,96.62
LeisureX (Shanghai),software1-P,96.62
ONLP lab (Ra'anana),software3-P,96.62
ParisNLP (Paris),software1-P,96.62
Phoenix (Shanghai),software1-P,96.62
ArmParser (Yerevan),software1-P,95.97
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
