LATTICE (Paris),software1-P,94.28
ICS PAS (Warszawa),software1-P,94.09
TurkuNLP (Turku),software1-P,93.66
Stanford (Stanford),software2,93.64
HIT-SCIR (Harbin),software1-P,93.59
UDPipe Future (Praha),software1-P,93.31
NLP-Cube (București),software1-P,93.2
Uppsala (Uppsala),software1-P,93.12
CEA LIST (Paris),software1-P,92.98
IBM NY (Yorktown Heights),software1-P,92.96
SLT-Interactions (Bengaluru),software2-P,92.74
Phoenix (Shanghai),software1-P,91.71
AntNLP (Shanghai),software1-P,91.13
BASELINE UDPipe 1.2 (Praha),software1-P,91.13
BOUN (İstanbul),software2-P,91.13
CUNI x-ling (Praha),software1-P,91.13
Fudan (Shanghai),software5-P,91.13
HUJI (Yerushalayim),software1-P,91.13
KParse (İstanbul),software1-P,91.13
ONLP lab (Ra'anana),software3-P,91.13
ParisNLP (Paris),software1-P,91.13
iParse (Pittsburgh),software1-P,91.13
UniMelb (Melbourne),software1-P,90.91
LeisureX (Shanghai),software1-P,90.12
ArmParser (Yerevan),software1-P,0.0
SParse (İstanbul),software1-P,0.0
