HIT-SCIR (Harbin),software1-P,97.41
Stanford (Stanford),software2,97.21
UDPipe Future (Praha),software1-P,97.17
TurkuNLP (Turku),software1-P,97.07
CEA LIST (Paris),software1-P,97.03
Uppsala (Uppsala),software1-P,96.89
SLT-Interactions (Bengaluru),software2-P,96.86
ICS PAS (Warszawa),software1-P,96.73
NLP-Cube (București),software1-P,96.5
LATTICE (Paris),software1-P,94.97
UniMelb (Melbourne),software1-P,94.9
AntNLP (Shanghai),software1-P,94.8
BASELINE UDPipe 1.2 (Praha),software1-P,94.8
CUNI x-ling (Praha),software1-P,94.8
Fudan (Shanghai),software5-P,94.8
HUJI (Yerushalayim),software1-P,94.8
KParse (İstanbul),software1-P,94.8
LeisureX (Shanghai),software1-P,94.8
ONLP lab (Ra'anana),software3-P,94.8
ParisNLP (Paris),software1-P,94.8
Phoenix (Shanghai),software1-P,94.8
BOUN (İstanbul),software2-P,94.78
IBM NY (Yorktown Heights),software1-P,94.57
ArmParser (Yerevan),software1-P,94.04
SParse (İstanbul),software1-P,0.0
iParse (Pittsburgh),software1-P,0.0
