Uppsala (Uppsala),software1-P,98.18
HIT-SCIR (Harbin),software1-P,98.12
CEA LIST (Paris),software1-P,97.78
CUNI x-ling (Praha),software1-P,97.74
TurkuNLP (Turku),software1-P,97.42
SLT-Interactions (Bengaluru),software2-P,97.09
UDPipe Future (Praha),software1-P,97.04
Phoenix (Shanghai),software1-P,97.03
AntNLP (Shanghai),software1-P,96.97
BASELINE UDPipe 1.2 (Praha),software1-P,96.97
BOUN (İstanbul),software2-P,96.97
ICS PAS (Warszawa),software1-P,96.97
KParse (İstanbul),software1-P,96.97
LATTICE (Paris),software1-P,96.97
LeisureX (Shanghai),software1-P,96.97
ParisNLP (Paris),software1-P,96.97
UniMelb (Melbourne),software1-P,96.97
Fudan (Shanghai),software5-P,96.96
IBM NY (Yorktown Heights),software1-P,96.92
ONLP lab (Ra'anana),software3-P,96.86
NLP-Cube (București),software1-P,96.8
Stanford (Stanford),software2,95.99
HUJI (Yerushalayim),software1-P,94.61
ArmParser (Yerevan),software1-P,79.41
iParse (Pittsburgh),software1-P,78.11
SParse (İstanbul),software1-P,2.32
