Uppsala (Uppsala),software1-P,99.02
HIT-SCIR (Harbin),software1-P,98.99
SLT-Interactions (Bengaluru),software2-P,98.72
CUNI x-ling (Praha),software1-P,98.67
UDPipe Future (Praha),software1-P,98.66
IBM NY (Yorktown Heights),software1-P,98.65
NLP-Cube (București),software1-P,98.64
ParisNLP (Paris),software1-P,98.64
AntNLP (Shanghai),software1-P,98.63
BASELINE UDPipe 1.2 (Praha),software1-P,98.63
BOUN (İstanbul),software2-P,98.63
Fudan (Shanghai),software5-P,98.63
ICS PAS (Warszawa),software1-P,98.63
KParse (İstanbul),software1-P,98.63
LATTICE (Paris),software1-P,98.63
LeisureX (Shanghai),software1-P,98.63
ONLP lab (Ra'anana),software3-P,98.63
TurkuNLP (Turku),software1-P,98.63
UniMelb (Melbourne),software1-P,98.63
CEA LIST (Paris),software1-P,98.62
Phoenix (Shanghai),software1-P,98.62
Stanford (Stanford),software2,98.51
HUJI (Yerushalayim),software1-P,95.47
ArmParser (Yerevan),software1-P,87.2
iParse (Pittsburgh),software1-P,79.17
SParse (İstanbul),software1-P,3.12
