Stanford (Stanford),software2,96.81
Uppsala (Uppsala),software1-P,96.19
ParisNLP (Paris),software1-P,94.37
AntNLP (Shanghai),software1-P,93.71
ArmParser (Yerevan),software1-P,93.71
BASELINE UDPipe 1.2 (Praha),software1-P,93.71
BOUN (İstanbul),software2-P,93.71
CEA LIST (Paris),software1-P,93.71
CUNI x-ling (Praha),software1-P,93.71
Fudan (Shanghai),software5-P,93.71
HIT-SCIR (Harbin),software1-P,93.71
ICS PAS (Warszawa),software1-P,93.71
KParse (İstanbul),software1-P,93.71
LATTICE (Paris),software1-P,93.71
LeisureX (Shanghai),software1-P,93.71
ONLP lab (Ra'anana),software3-P,93.71
Phoenix (Shanghai),software1-P,93.71
SLT-Interactions (Bengaluru),software2-P,93.71
TurkuNLP (Turku),software1-P,93.71
UDPipe Future (Praha),software1-P,93.71
UniMelb (Melbourne),software1-P,93.71
iParse (Pittsburgh),software1-P,93.71
IBM NY (Yorktown Heights),software1-P,93.08
NLP-Cube (București),software1-P,91.1
HUJI (Yerushalayim),software1-P,0.0
SParse (İstanbul),software1-P,0.0
